number,item_id,name,died,nationality,occupation,life_status,bio,critical,type,tense,condition,match,mismatch,bio_spr,critical_spr,list,bare_verb,file_name
16,20,Lady Gaga,alive,American,musician,alive,Lady Gaga is an American musician. She lives in Malibu.,She is known for his musical versatility and image reinventions.,filler,PresPass,alivePresPass,yes,no,Lady Gaga*is*an American musician.*She*lives*in Malibu.,She*is known*for his*musical versatility*and image reinventions.,88,be known,Lady_Gaga.jpg
17,31,Laurel and Hardy,dead,American-British,comedy duo,dead,Laurel and Hardy were an American-British comedy duo. ,"He*was*known*for his slapstick*style of humour,*according to*news reports.",filler,PastPass,deadPastPass,no,number,Laurel and Hardy*were*an American-British*comedy duo.*,"He*was*known*for his slapstick*style of humour,*according to*news reports.",88,be known,Laurel_and_Hardy.png
18,17,Linkin Park,alive,American,rock band,alive,Linkin Park is an American rock band. They formed in 1996.,He is among the best-selling musicians of the 21st century.,filler,PresS,alivePresS,no,number,Linkin Park*is*an American rock band.*They*formed*in 1996.,He*is*among the best-selling*musicians*of the 21st century.,88,be,Linkin_Park.png
19,18,Macaulay Culkin,alive,American,actor,alive,Macaulay Culkin is an American actor. He lives in Paris.,He has been a Hollywood star since she was a child.,filler,PP,alivePP,yes,no,Macaulay Culkin*is*an American actor.*He*lives*in Paris.,He*has been*a Hollywood star*since*he was a child.,88,be,Macaulay_Culkin.jpg
20,3,Manchester United,alive,English,football club,alive,Manchester United F.C. is an English football club. They are based in Manchester.,"They*are*the world's*most valuable*football brand,*if one believes*Twitter.",filler,PresS,alivePresS,yes,no ,Manchester United F.C.*is*an English*football club.*They*are*based in Manchester.,"They*are*the world's*most valuable*football brand,*if one believes*Twitter.",88,be,Manchester United.jpg
21,4,Phoebe Waller-Bridge,alive,English,actor and writer,alive,Phoebe Waller-Bridge is an English actor and writer. She was born in London.,"She*has been*praised*for her writing,*as seen on*social media.",filler,PPPass,alivePPPass,yes,no ,Phoebe Waller-Bridge*is*an English*actor and writer.*She*was born*in London.,"She*has been*praised*for her writing,*as seen on*social media.",88,be praised,Phoebe_Waller-Bridge.png
22,14,Psy,alive,South Korean,musician,alive,Psy is a South Korean musician. He lives in Seul.,He attended Berklee College of Music over the next months.,filler,PS,alivePPPass,no ,temporal,Psy*is*a South Korean musician.*He*lives*in Seul.,He*attended*Berklee College*of Music*over the next months.,88,attend,Psy.jpg
23,24,Queen,dead,British,rock band,dead,Queen were a British rock band. They formed in London in 1970.,"They*had*numerous*number*one hits,*so it's*said.",filler,PS,deadPS,yes,filler,Queen*were*a British*rock band.*They*formed*in London*in 1970.,"They*had*numerous*number*one hits,*so it's*said.",88,have,Queen.jpg
24,5,Real Madrid,alive,English,football club,alive,Real Madrid C.F. is a Spanish football club. They are based in Madrid.,"The team*was*founded*in 1902,*if one believes*Twitter.",filler,PastPass,alivePastPass,yes,no ,Real Madrid C.F.*is*a Spanish*football club.*They*are*based in Madrid.,"The team*was*founded*in 1902,*if one believes*Twitter.",88,be founded,Real_Madrid.jpg
25,25,Scarborough F.C.,dead,English,football club,dead,Scarborough F.C. were an English football club. They were based in North Yorkshire.,"They*were*dissolved*in 2007,*so it's*said.",filler,PastPass,deadPastPass,yes,filler,Scarborough F.C.*were*an English*football club.*They*were*based in*North Yorkshire.,"They*were*dissolved*in 2007,*so it's*said.",88,be dissolved,Scarborough.jpg
26,13,Sophia Loren,alive,Italian,actress,alive,Sophia Loren is an Italian actress. She lives in Geneva.,She enrolled in the Italian National film school in the near future.,filler,PS,alivePresPass,no,temporal,Sophia Loren*is*an Italian actor.*She*lives*in Geneva.,She*enrolled*in the Italian*National film school*in the near future.,88,enrol,Sophia_Loren.png
27,26,Spice Girls,dead,English,pop group,dead,The Spice Girls were an English pop group formed in the 1990's.,"They*had*several*successful*world tours,*so it's*said.",filler,PS,deadPS,yes,filler,The Spice Girls*were*an English*pop group*formed*in the 1990's.,"They*had*several*successful*world tours,*so it's*said.",88,have,Spice_Girls.jpg
28,6,Stephen Fry,alive,English,actor,alive,Stephen Fry is an English actor and writer. He was born in London.,"His career*has spanned*many*decades,*as seen on*social media.",filler,PP,alivePP,yes,no ,Stephen Fry*is*an English*actor and writer.*He*was born*in London.,"His career*has spanned*many*decades,*as seen on*social media.",88,span,Stephen_Fry.jpg
29,32,The Beatles,dead,British,rock band,dead,The Beatles were a British rock band formed in Liverpool. They disbanded in 1970.,"He*was*adored*by many*teenage fans,*so it's*said.",filler,PastPass,deadPastPass,no,number,The Beatles*were*a British*rock band*formed*in Liverpool.*They*disbanded*in 1970.,"He*was*adored*by many*teenage fans,*so it's*said.",88,be adored,The_Beatles.jpg
30,16,U2,alive,Canadian,rock band,alive,U2 are an Irish rock band formed in Ireland. They are from Dublin.,He is one of the world's most popular music artists worldwide.,filler,PresS,alivePresS,no,number,U2*are*an Irish rock band.*They*are*from Dublin.,He*is*one of the world's most popular*music artists*worldwide.,88,be,U2.png
31,28,Vacouver Grizzlies,dead,Canadian,basketball team,dead,The Vancouver Grizzlies were a Canadian basketball team.,"In 2001,*the team*relocated*to Memphis,*Tennessee,*so it's*said.",filler,PS,deadPS,yes,filler,The Vancouver Grizzlies*were*a Canadian*basketball team.,"In 2001,*the team*relocated*to Memphis,*Tennessee,*so it's*said.",88,relocate,The_Vancouver_Grizzlies.jpg
32,33,Wolfgang Amadeus Mozart,dead,German,musician,dead,Wolfgang Amadeus Mozart was a German musician. He was born in 1756.,He was cited as one of the most popular astrologists of the 19th century.,filler,PastPass,deadPastPass,no,occupation,Wolfgang Amadeus Mozart*was*a German musician.*He*was born*in 1756.,He*was cited*as one of the most popular*astrologists*of the 19th century.,88,be considered,Wolfgang_Amadeus_Mozart.jpg
33,19,Yoko Ono,alive,Japanese,artist and activist,alive,Yoko Ono is a Japanese artist and activist. She lives in Dakota.,She has been an activist for peace and human rights since the 1960s.,filler,PP,alivePP,yes,no,Yoko Ono*is*a Japanese artist and activist.*She*lives*in Dakota.,She*has been*an activist for peace*and human rights*since the 1960s.,88,be,Yoko_Ono.png
